category_name
Mehrspieler
PvP
Online-PvP
PvP-Spiele mit geteiltem Bildschirm
Farbalternativen
Benutzerdefinierte Lautstärkeregelung
Nur Tastatur
Stereo-Sound
Valve Anti-Cheat integriert
Familienbibliothek
Remote Play Together
Kamerakomfort
Einzelspieler
Einstellbarer Schwierigkeitsgrad
Spielbar ohne zeitgesteuerte Eingabe
Jederzeit speichern
Volle Controllerunterstützung
Steam Cloud
Remote Play auf Smartphones
Remote Play auf Tablets
Steam-Errungenschaften
Steam-Sammelkarten
Untertitel verfügbar
Steam Workshop
Optionen für Untertitel
Surround-Sound
Beinhaltet Source-SDK
Kommentare verfügbar
Steam-Zeitleiste
Plattformübergreifender Mehrspieler
Statistiken
Enthält Level-Editor
Käufe im Spiel
Teilweise Controllerunterstützung
Koop
Steam-Bestenlisten
Remote Play auf TV-Geräten
Online-Koop
SteamVR-Sammelgegenstände
Koop-Spiele mit geteiltem Bildschirm
Geteilter Bildschirm
Anpassbare Textgröße
LAN-PvP
LAN-Koop
MMO
Mods
Mods (HL2 erforderlich)
Nur Maus
NA
Nur Touchpad
Unterstützung für Controller mit Bewegungsverfolgung
Unterstützt VR
VR-Unterstützung
HDR verfügbar
Steam-Spielzugbenachrichtigungen
Nur VR
Sprachausgabe für Spielmenüs
Chat: Sprache-zu-Text
Chat: Text-zu-Sprache
