id,alter,genre,categories,released,eigenschaften,original_price,recommendations
306510,,,Stats; Includes level editor,"6 Jun, 2014",,0.0,
314500,,Design & Illustration; Photo Editing,,"14 Aug, 2014",,3199.0,207.0
314730,,Utilities,,"20 Oct, 2014",,2899.0,
316830,,Animation & Modeling; Design & Illustration,,"25 Sep, 2014",,2999.0,
322410,,Design & Illustration; Education,,"5 Dec, 2014",,589.0,
323620,,Utilities,,"15 Sep, 2014",,699.0,
325670,,,Stats; Includes level editor,"7 Oct, 2014",,0.0,
327490,,Animation & Modeling; Design & Illustration; Utilities,,"1 Dec, 2014",,499.0,
332360,,Animation & Modeling; Design & Illustration; Utilities,Steam Trading Cards,"14 Nov, 2014",,5499.0,198.0
332800,,Indie,Single-player; Family Sharing,"Nov 10, 2014",,799.0,21145.0
336530,,Animation & Modeling; Design & Illustration; Photo Editing; Software Training; Utilities; Video Production,Includes Source SDK,"11 Mar, 2015",,499.0,
337070,,Utilities,Steam Achievements,"1 Jan, 2015",,1499.0,358.0
341190,,,Single-player,"17 Feb, 2015",,,
345300,,Design & Illustration; Education,,"28 Jan, 2015",,689.0,
345310,,Design & Illustration; Education; Utilities,,"28 Jan, 2015",,689.0,
345370,,Utilities,,"27 Mar, 2015",,1499.0,735.0
345950,,,Family Sharing,"26 Jan, 2015",,,
347400,,Animation & Modeling; Design & Illustration; Education; Photo Editing; Software Training; Utilities; Video Production; Web Publishing; Game Development,Steam Achievements; Adjustable Text Size; Camera Comfort; Chat Text-to-speech; Color Alternatives; Custom Volume Controls; Adjustable Difficulty; Mouse Only Option; Narrated Game Menus; Playable without Timed Input; Save Anytime; Stereo Sound; Surround Sound; Touch Only Option; Partial Controller Support; Stats; Includes level editor,"13 Jul, 2015",,1949.0,243.0
348200,,Design & Illustration; Utilities; Web Publishing,Steam Achievements; Steam Workshop; Steam Cloud; Stats; Remote Play Together,"21 Apr, 2015",,999.0,561.0
349280,,Education; Software Training; Utilities; Early Access,,"22 May, 2015",,239.0,
352280,,Audio Production,,,,,
352290,,Audio Production,,"28 Apr, 2015",,,
352310,,Audio Production,,"28 Apr, 2017",,,
353380,,,Full controller support,"10 Nov, 2015",,,5061.0
355500,,Animation & Modeling; Design & Illustration; Education; Software Training; Utilities; Early Access,Full controller support; Steam Workshop; Steam Leaderboards,"24 Aug, 2015",,,
362870,,RPG; Design & Illustration; Education; Web Publishing; Game Development,,"24 Apr, 2015",,195.0,703.0
363020,,Animation & Modeling; Utilities,,"6 Oct, 2015",,,
363890,,RPG; Design & Illustration; Education; Web Publishing; Game Development,Steam Trading Cards; Steam Workshop; Partial Controller Support,"23 Oct, 2015",,779.0,7054.0
365670,,Animation & Modeling; Design & Illustration; Video Production,,"24 Apr, 2015",,,129.0
366530,,Animation & Modeling; Design & Illustration; Education; Software Training; Utilities; Game Development,,"27 Apr, 2015",,,
366550,,Design & Illustration,,"2 Jun, 2015",,569.0,
367670,,Utilities,Full controller support; Steam Workshop,"4 May, 2015",,299.0,2485.0
368470,,Animation & Modeling; Design & Illustration; Education; Photo Editing; Software Training; Utilities; Video Production,Full controller support; Includes level editor,"22 May, 2015",,2099.0,
368670,,Software Training,,"10 Jun, 2015",,975.0,
369190,,Animation & Modeling; Design & Illustration; Education; Utilities; Early Access,Partial Controller Support; Includes level editor,"5 Jun, 2015",,3699.0,
372390,,Audio Production; Software Training; Utilities; Video Production,VR Supported,"21 May, 2015",,2500.0,383.0
372590,,Animation & Modeling; Design & Illustration; Video Production,,"13 Apr, 2016",,5899.0,
