feature_name
Drastische Gewalt
Gewalt
Fantasy-Gewalt
NA
Alkohol / Tabak
Schimpfwörte
Sexuelle Andeutungen
Derbe Sprache
Drogen
Sexuelle Inhalte
Verbrechen
Ängstigende Inhalte
Selbstmord
Horror
Sexualisierte Gewalt / Sexual violence
